Vendor Name,Product Setting,Business State/Territory,Specialty,Attestation Date,Attestations
McKesson,Ambulatory,VA,Family Practice,12/2011,2
McKesson,Ambulatory,VA,Family Practice,12/2012,16
Allscripts,Inpatient,CT,N/A,04/2012,1
Others,Ambulatory,NC,Optometry,09/2011,2
NextGen,Ambulatory,IN,Family Practice,01/2013,9
Others,Ambulatory,MN,Others,12/2012,102
Others,Ambulatory,MN,Others,12/2011,15
McKesson,Ambulatory,NY,Internal Medicine,02/2012,8
McKesson,Inpatient,ME,N/A,11/2012,1
Allscripts,Inpatient,WI,Gastroenterology,12/2012,1
Others,Ambulatory,TN,Optometry,11/2011,3
Others,Ambulatory,TN,Optometry,11/2012,11
Others,Ambulatory,FL,Family Practice,02/2012,20
Others,Inpatient,MA,N/A,10/2012,45
Others,Inpatient,MA,N/A,10/2011,9
Others,Ambulatory,IA,Internal Medicine,01/2013,10
Others,Ambulatory,IA,Internal Medicine,01/2012,2
Others,Ambulatory,PA,Cardiology,11/2011,1
Epic,Ambulatory,MN,Internal Medicine,09/2011,16
Allscripts,Ambulatory,IN,Others,05/2011,1
Others,Ambulatory,ID,Podiatry,12/2011,1
NextGen,Ambulatory,IA,Cardiology,04/2012,2
Epic,Ambulatory,IL,Obstetrics/Gynecology,01/2013,33
GE Healthcare,Ambulatory,MA,Podiatry,11/2012,1
eClinicalWorks LLC,Ambulatory,MI,Obstetrics/Gynecology,08/2012,1
Others,Ambulatory,NM,Family Practice,02/2012,8
eClinicalWorks LLC,Ambulatory,GA,Podiatry,12/2012,2
McKesson,Ambulatory,NH,Family Practice,02/2012,2
McKesson,Ambulatory,WA,Others,08/2012,11
Epic,Ambulatory,IL,Cardiology,06/2011,3
Epic,Ambulatory,IL,Cardiology,06/2012,1
Others,Ambulatory,OK,Gastroenterology,10/2012,1
Others,Ambulatory,IL,Optometry,10/2012,10
Practice Fusion,Ambulatory,TN,Others,12/2011,4
Others,Ambulatory,IL,Optometry,10/2011,14
Epic,Ambulatory,LA,Podiatry,01/2013,2
Others,Ambulatory,GA,Podiatry,04/2012,7
Allscripts,Ambulatory,KY,Gastroenterology,09/2012,1
Others,Ambulatory,GA,Podiatry,04/2011,2
Epic,Ambulatory,NY,Others,09/2012,33
Greenway Medical,Ambulatory,AL,Others,11/2011,5
Greenway Medical,Ambulatory,AL,Others,11/2012,16
Others,Ambulatory,LA,Others,04/2011,1
Others,Ambulatory,LA,Others,04/2012,15
Cerner,Ambulatory,NY,General Surgery,12/2011,3
Others,Ambulatory,AL,General Surgery,02/2012,3
Others,Ambulatory,OH,Optometry,09/2012,18
GE Healthcare,Ambulatory,CO,Family Practice,05/2012,1
Practice Fusion,Ambulatory,SC,Family Practice,08/2012,1
NextGen,Ambulatory,AL,Family Practice,08/2012,5
eClinicalWorks LLC,Ambulatory,OK,Others,12/2011,2
NextGen,Ambulatory,IL,Podiatry,01/2013,4
Others,Ambulatory,OH,Optometry,09/2011,3
Others,Ambulatory,MN,Cardiology,02/2012,1
Others,Ambulatory,AZ,Cardiology,02/2012,2
Allscripts,Ambulatory,MI,Family Practice,02/2012,17
Epic,Ambulatory,GA,Obstetrics/Gynecology,12/2012,8
Allscripts,Ambulatory,TX,Orthopedic Surgery,06/2012,4
GE Healthcare,Ambulatory,ND,Internal Medicine,05/2012,6
Allscripts,Ambulatory,TN,Gastroenterology,01/2013,19
Allscripts,Ambulatory,TN,Gastroenterology,01/2012,8
McKesson,Ambulatory,NV,Internal Medicine,01/2013,1
