Vendor Name,Product Setting,Business State/Territory,Specialty,Attestation Date,Attestations
NextGen,Ambulatory,VA,Internal Medicine,12/01/2012,14
Epic,Inpatient,ND,Others,01/01/2013,6
Cerner,Ambulatory,MN,Others,08/01/2011,3
Cerner,Ambulatory,MN,Others,08/01/2012,20
Others,Ambulatory,ME,Optometry,12/01/2012,9
Others,Ambulatory,ME,Optometry,12/01/2011,4
Epic,Inpatient,WI,N/A,10/01/2012,11
Epic,Inpatient,WI,N/A,10/01/2011,1
Epic,Ambulatory,OR,Others,01/01/2013,147
Epic,Ambulatory,OK,Family Practice,11/01/2012,4
eClinicalWorks LLC,Ambulatory,MS,Others,09/01/2011,4
GE Healthcare,Ambulatory,NH,Family Practice,12/01/2011,2
Others,Ambulatory,NY,Orthopedic Surgery,07/01/2012,10
Others,Ambulatory,TX,Obstetrics/Gynecology,01/01/2012,14
Others,Ambulatory,TX,Obstetrics/Gynecology,01/01/2013,44
Allscripts,Ambulatory,CT,Cardiovascular Disease (Cardiology),02/01/2012,4
NextGen,Ambulatory,NY,Others,12/01/2012,4
NextGen,Ambulatory,NC,Others,10/01/2011,3
NextGen,Ambulatory,KY,Cardiovascular Disease (Cardiology),12/01/2011,1
NextGen,Ambulatory,NC,Others,10/01/2012,10
Others,Ambulatory,PA,Gastroenterology,12/01/2012,11
GE Healthcare,Ambulatory,TX,Others,10/01/2012,8
Others,Ambulatory,OH,Optometry,04/01/2012,8
eClinicalWorks LLC,Ambulatory,DE,Gastroenterology,07/01/2012,2
Allscripts,Ambulatory,KY,Gastroenterology,01/01/2013,9
"Greenway Medical Technologies, Inc.",Ambulatory,SC,Internal Medicine,01/01/2013,1
"Greenway Medical Technologies, Inc.",Ambulatory,SC,Internal Medicine,01/01/2012,1
Others,Inpatient,WV,N/A,07/01/2012,1
Others,Inpatient,WV,N/A,07/01/2011,1
Others,Ambulatory,MS,Optometry,02/01/2012,7
Allscripts,Ambulatory,NY,Cardiovascular Disease (Cardiology),01/01/2013,50
Allscripts,Ambulatory,NY,Cardiovascular Disease (Cardiology),01/01/2012,24
Others,Ambulatory,AR,Cardiovascular Disease (Cardiology),12/01/2011,2
Cerner,Ambulatory,MN,Obstetrics/Gynecology,02/01/2012,4
Others,Ambulatory,AR,Cardiovascular Disease (Cardiology),12/01/2012,5
eClinicalWorks LLC,Ambulatory,MO,Gastroenterology,01/01/2013,1
Allscripts,Ambulatory,NC,Gastroenterology,12/01/2011,21
Allscripts,Ambulatory,NC,Gastroenterology,12/01/2012,1
Others,Inpatient,NJ,N/A,01/01/2012,1
eClinicalWorks LLC,Ambulatory,GA,Internal Medicine,11/01/2011,7
NextGen,Ambulatory,OH,Gastroenterology,10/01/2012,1
Others,Ambulatory,OK,Internal Medicine,09/01/2012,2
Cerner,Ambulatory,WI,Internal Medicine,11/01/2012,4
Allscripts,Ambulatory,MS,General Surgery,12/01/2012,2
McKesson,Ambulatory,IA,Optometry,12/01/2012,3
Epic,Ambulatory,PW,Others,12/01/2011,2
Others,Ambulatory,TX,Orthopedic Surgery,01/01/2013,63
eClinicalWorks LLC,Ambulatory,LA,Orthopedic Surgery,05/01/2012,1
McKesson,Ambulatory,DE,Others,10/01/2012,1
Others,Inpatient,TN,N/A,05/01/2012,1
Cerner,Ambulatory,CT,Internal Medicine,11/01/2011,2
GE Healthcare,Ambulatory,TX,General Surgery,11/01/2012,1
Others,Ambulatory,FL,Internal Medicine,12/01/2011,59
Others,Ambulatory,FL,Internal Medicine,12/01/2012,116
eClinicalWorks LLC,Ambulatory,MA,Internal Medicine,05/01/2012,43
eClinicalWorks LLC,Ambulatory,MA,Internal Medicine,05/01/2011,1
Epic,Ambulatory,IL,Gastroenterology,02/01/2012,15
eClinicalWorks LLC,Ambulatory,NE,Others,01/01/2013,1
Cerner,Inpatient,OR,N/A,10/01/2012,6
Allscripts,Ambulatory,MA,Gastroenterology,07/01/2012,12
Allscripts,Ambulatory,LA,General Surgery,11/01/2012,2
Others,Ambulatory,IN,Others,01/01/2012,22
Others,Ambulatory,IN,Others,01/01/2013,141
McKesson,Ambulatory,NV,Obstetrics/Gynecology,09/01/2012,1
Others,Ambulatory,MO,Podiatry,06/01/2011,1
Others,Ambulatory,MO,Podiatry,06/01/2012,2
"Greenway Medical Technologies, Inc.",Ambulatory,MS,General Surgery,05/01/2012,1
NextGen,Ambulatory,MO,Others,09/01/2012,1
Practice Fusion,Ambulatory,NJ,Internal Medicine,05/01/2012,3
eClinicalWorks LLC,Ambulatory,PA,Others,12/01/2012,7
eClinicalWorks LLC,Ambulatory,PA,Others,12/01/2011,3
eClinicalWorks LLC,Ambulatory,PA,Others,02/01/2012,10
Others,,AR,Family Practice,07/01/2012,1
Cerner,Inpatient,NY,N/A,01/01/2012,1
eClinicalWorks LLC,Ambulatory,HI,General Surgery,12/01/2012,1
Others,Ambulatory,MS,Internal Medicine,06/01/2011,1
Epic,Ambulatory,NY,General Surgery,02/01/2012,19
Others,Ambulatory,FL,Family Practice,05/01/2011,3
Others,Ambulatory,AR,Cardiovascular Disease (Cardiology),09/01/2011,1
Practice Fusion,Ambulatory,TX,Others,12/01/2011,15
Practice Fusion,Ambulatory,TX,Others,12/01/2012,13
Cerner,Ambulatory,NJ,Gastroenterology,01/01/2012,1
Cerner,Ambulatory,NJ,Gastroenterology,01/01/2013,52
Others,Inpatient,IA,Others,12/01/2012,1
Epic,Ambulatory,WI,Obstetrics/Gynecology,07/01/2012,1
Allscripts,Ambulatory,CT,Cardiovascular Disease (Cardiology),11/01/2011,1
Allscripts,Ambulatory,WA,Internal Medicine,08/01/2011,1
GE Healthcare,Ambulatory,ND,Others,09/01/2012,1
Others,Ambulatory,KY,Podiatry,06/01/2011,4
NextGen,Ambulatory,MN,Internal Medicine,12/01/2012,1
Allscripts,Ambulatory,MD,Family Practice,10/01/2011,4
NextGen,Ambulatory,GA,Podiatry,08/01/2012,1
GE Healthcare,Ambulatory,GA,Gastroenterology,05/01/2012,5
Cerner,Inpatient,CT,N/A,09/01/2012,1
GE Healthcare,Ambulatory,AZ,Others,04/01/2012,5
Epic,Ambulatory,WA,Optometry,07/01/2011,3
"Greenway Medical Technologies, Inc.",Ambulatory,CA,Family Practice,09/01/2012,6
NextGen,Ambulatory,VA,Orthopedic Surgery,09/01/2012,14
Others,Ambulatory,AR,Family Practice,08/01/2011,2
Others,Ambulatory,AR,Family Practice,08/01/2012,17
Epic,Inpatient,HI,General Surgery,10/01/2012,2
GE Healthcare,Ambulatory,TX,Others,10/01/2011,1
Allscripts,Ambulatory,WV,Cardiovascular Disease (Cardiology),01/01/2013,13
Allscripts,Ambulatory,WV,Cardiovascular Disease (Cardiology),01/01/2012,9
Others,Ambulatory,PA,Gastroenterology,12/01/2011,5
eClinicalWorks LLC,Ambulatory,PA,Others,11/01/2012,16
Others,Ambulatory,CT,Podiatry,09/01/2012,5
Others,Ambulatory,CT,Podiatry,09/01/2011,6
GE Healthcare,Ambulatory,TX,Family Practice,01/01/2013,20
Cerner,Ambulatory,IN,Podiatry,08/01/2012,2
NextGen,Ambulatory,VA,Internal Medicine,01/01/2013,9
Epic,Ambulatory,IA,Others,10/01/2012,14
Others,Ambulatory,MS,Others,02/01/2012,17
Practice Fusion,Ambulatory,WI,Others,10/01/2012,1
eClinicalWorks LLC,Ambulatory,CO,Cardiovascular Disease (Cardiology),02/01/2012,1
NextGen,Ambulatory,KY,Gastroenterology,10/01/2012,1
Others,Ambulatory,DC,Gastroenterology,12/01/2012,9
eClinicalWorks LLC,Ambulatory,MA,Orthopedic Surgery,12/01/2012,6
Practice Fusion,Ambulatory,IL,Gastroenterology,11/01/2012,1
eClinicalWorks LLC,Ambulatory,CO,Family Practice,02/01/2012,4
NextGen,Ambulatory,CA,Cardiovascular Disease (Cardiology),11/01/2012,33
NextGen,Ambulatory,WA,Others,02/01/2012,7
Allscripts,Ambulatory,OH,Podiatry,08/01/2012,1
Allscripts,Inpatient,NJ,N/A,01/01/2012,2
Others,Ambulatory,WA,Podiatry,01/01/2012,10
Others,Ambulatory,WA,Podiatry,01/01/2013,21
Epic,Ambulatory,CA,Obstetrics/Gynecology,08/01/2012,14
eClinicalWorks LLC,Ambulatory,CA,Gastroenterology,01/01/2012,2
eClinicalWorks LLC,Ambulatory,CA,Gastroenterology,01/01/2013,4
NextGen,Ambulatory,IL,Internal Medicine,10/01/2011,5
NextGen,Ambulatory,IL,Internal Medicine,10/01/2012,13
Others,Ambulatory,OH,Internal Medicine,09/01/2011,11
Others,Ambulatory,OH,Internal Medicine,09/01/2012,21
McKesson,Inpatient,MN,N/A,10/01/2012,1
McKesson,Inpatient,MN,N/A,10/01/2011,2
Others,Ambulatory,OH,Orthopedic Surgery,07/01/2012,2
eClinicalWorks LLC,Ambulatory,CA,Obstetrics/Gynecology,02/01/2012,1
eClinicalWorks LLC,Ambulatory,DE,Others,01/01/2013,2
McKesson,Inpatient,OH,N/A,04/01/2012,3
Epic,Inpatient,NC,Family Practice,01/01/2013,34
Epic,Ambulatory,NY,General Surgery,11/01/2012,5
McKesson,Ambulatory,KS,Family Practice,06/01/2012,2
"Greenway Medical Technologies, Inc.",Ambulatory,CA,Internal Medicine,07/01/2012,1
Practice Fusion,Ambulatory,CO,Orthopedic Surgery,01/01/2012,1
Practice Fusion,Ambulatory,NC,Internal Medicine,01/01/2012,2
Practice Fusion,Ambulatory,NC,Internal Medicine,01/01/2013,2
Practice Fusion,Ambulatory,SC,Podiatry,09/01/2011,1
Cerner,Ambulatory,CA,Cardiovascular Disease (Cardiology),10/01/2012,2
eClinicalWorks LLC,Ambulatory,UT,Family Practice,07/01/2012,1
Epic,Inpatient,HI,Cardiovascular Disease (Cardiology),09/01/2011,4
McKesson,Ambulatory,LA,Obstetrics/Gynecology,01/01/2013,1
Allscripts,Ambulatory,AR,Orthopedic Surgery,11/01/2012,1
eClinicalWorks LLC,Ambulatory,DE,Others,12/01/2012,2
Others,Inpatient,GA,Optometry,01/01/2013,1
eClinicalWorks LLC,Ambulatory,MD,Internal Medicine,06/01/2012,4
Allscripts,Ambulatory,DC,Internal Medicine,01/01/2013,6
McKesson,Ambulatory,WV,Gastroenterology,12/01/2012,1
Others,Ambulatory,NY,Obstetrics/Gynecology,05/01/2012,6
Practice Fusion,Ambulatory,TN,Podiatry,11/01/2012,1
eClinicalWorks LLC,Ambulatory,MI,Family Practice,01/01/2012,3
eClinicalWorks LLC,Ambulatory,MI,Family Practice,01/01/2013,32
Epic,Ambulatory,NH,Others,07/01/2011,4
Epic,Ambulatory,NH,Others,07/01/2012,3
eClinicalWorks LLC,Ambulatory,MI,Podiatry,09/01/2012,1
McKesson,Ambulatory,MS,General Surgery,12/01/2012,1
Allscripts,Inpatient,PA,N/A,04/01/2012,8
Others,Ambulatory,FL,Others,01/01/2013,746
Others,Ambulatory,FL,Others,01/01/2012,146
Allscripts,Ambulatory,NC,Gastroenterology,11/01/2012,1
Allscripts,Ambulatory,NC,Gastroenterology,11/01/2011,2
Others,Ambulatory,AZ,Orthopedic Surgery,07/01/2011,1
Others,Ambulatory,AZ,Orthopedic Surgery,07/01/2012,3
"Greenway Medical Technologies, Inc.",Ambulatory,MS,Others,01/01/2013,16
Others,Ambulatory,VT,Others,05/01/2012,2
Cerner,Ambulatory,WI,Family Practice,08/01/2012,2
Others,Ambulatory,MA,Internal Medicine,07/01/2012,21
Others,Ambulatory,MA,Internal Medicine,07/01/2011,2
Cerner,Inpatient,CA,N/A,09/01/2011,4
Cerner,Inpatient,CA,N/A,09/01/2012,3
Epic,Ambulatory,TX,Orthopedic Surgery,07/01/2012,3
Practice Fusion,Ambulatory,CO,Family Practice,12/01/2011,2
Others,Ambulatory,PR,Others,09/01/2012,8
Others,Ambulatory,PR,Others,09/01/2011,1
Practice Fusion,Ambulatory,FL,Others,02/01/2012,17
Others,Ambulatory,DE,Others,02/01/2012,3
Practice Fusion,Ambulatory,MO,General Surgery,12/01/2011,1
Cerner,Ambulatory,FL,Others,06/01/2012,9
Allscripts,Ambulatory,MD,Cardiovascular Disease (Cardiology),02/01/2012,2
Epic,Ambulatory,PA,Others,11/01/2012,55
Epic,Ambulatory,PA,Others,11/01/2011,117
GE Healthcare,Ambulatory,ID,Internal Medicine,11/01/2012,1
Epic,Ambulatory,MI,Family Practice,12/01/2011,41
Epic,Ambulatory,MI,Family Practice,12/01/2012,20
Practice Fusion,Ambulatory,FL,Obstetrics/Gynecology,09/01/2012,1
Cerner,Ambulatory,NC,Internal Medicine,11/01/2012,67
NextGen,Ambulatory,NH,Others,11/01/2012,5
Others,Ambulatory,TX,General Surgery,05/01/2012,3
Cerner,Ambulatory,NC,Internal Medicine,11/01/2011,1
NextGen,Ambulatory,GA,Cardiovascular Disease (Cardiology),11/01/2012,1
"Greenway Medical Technologies, Inc.",Ambulatory,IA,Internal Medicine,01/01/2013,1
Epic,Ambulatory,MI,Cardiovascular Disease (Cardiology),09/01/2012,4
Practice Fusion,Ambulatory,SD,Others,12/01/2012,1
Allscripts,Ambulatory,LA,General Surgery,12/01/2012,2
Allscripts,Ambulatory,WV,General Surgery,01/01/2013,11
Allscripts,Ambulatory,WV,General Surgery,01/01/2012,14
NextGen,Ambulatory,TX,Orthopedic Surgery,02/01/2012,1
Others,Inpatient,NM,N/A,09/01/2012,2
Others,Ambulatory,WA,Podiatry,10/01/2012,3
eClinicalWorks LLC,Ambulatory,IN,Family Practice,11/01/2012,8
NextGen,Ambulatory,WV,Others,09/01/2012,1
Allscripts,Ambulatory,WV,Podiatry,12/01/2011,3
Epic,Ambulatory,MO,Internal Medicine,11/01/2012,8
Practice Fusion,Ambulatory,VA,Podiatry,09/01/2012,2
Practice Fusion,Ambulatory,FL,Obstetrics/Gynecology,11/01/2012,1
NextGen,Ambulatory,DE,Others,09/01/2012,5
Others,Ambulatory,MT,General Surgery,11/01/2012,1
NextGen,Ambulatory,MA,Internal Medicine,10/01/2011,1
NextGen,Ambulatory,KY,Others,11/01/2012,26
Others,Inpatient,ID,N/A,05/01/2012,2
Cerner,Ambulatory,KS,General Surgery,12/01/2012,2
NextGen,Ambulatory,OK,Internal Medicine,11/01/2011,4
Others,Ambulatory,OK,General Surgery,11/01/2012,10
Others,Ambulatory,GA,Gastroenterology,12/01/2012,14
Others,Ambulatory,AL,Gastroenterology,01/01/2013,14
Others,Ambulatory,GA,Gastroenterology,12/01/2011,3
eClinicalWorks LLC,Ambulatory,PA,Internal Medicine,10/01/2011,5
"Greenway Medical Technologies, Inc.",Ambulatory,AR,Orthopedic Surgery,01/01/2013,1
Cerner,Inpatient,MI,Internal Medicine,01/01/2013,1
eClinicalWorks LLC,Ambulatory,PA,Internal Medicine,10/01/2012,2
GE Healthcare,Ambulatory,TX,Orthopedic Surgery,12/01/2011,2
Allscripts,Ambulatory,ID,Obstetrics/Gynecology,12/01/2012,1
McKesson,Ambulatory,NE,Others,12/01/2012,2
Others,Ambulatory,GA,Optometry,06/01/2012,2
GE Healthcare,Ambulatory,TX,Orthopedic Surgery,12/01/2012,4
GE Healthcare,Ambulatory,VA,Family Practice,02/01/2012,40
"Greenway Medical Technologies, Inc.",Ambulatory,MD,Podiatry,01/01/2013,1
Epic,Ambulatory,WI,Obstetrics/Gynecology,06/01/2012,1
Others,Ambulatory,MA,Others,06/01/2011,5
Others,Ambulatory,MA,Others,06/01/2012,99
eClinicalWorks LLC,Ambulatory,CA,Cardiovascular Disease (Cardiology),11/01/2011,1
eClinicalWorks LLC,Ambulatory,VA,Others,12/01/2011,3
eClinicalWorks LLC,Ambulatory,VA,Others,12/01/2012,6
Epic,Ambulatory,PA,Others,01/01/2012,175
Epic,Ambulatory,PA,Others,01/01/2013,219
Allscripts,Ambulatory,AZ,General Surgery,10/01/2012,1
Allscripts,Ambulatory,NY,Family Practice,12/01/2011,3
Allscripts,Ambulatory,NY,Family Practice,12/01/2012,8
Others,Ambulatory,CO,Podiatry,11/01/2012,4
Others,Ambulatory,CO,Podiatry,11/01/2011,2
McKesson,Ambulatory,OR,Podiatry,01/01/2013,1
GE Healthcare,Ambulatory,MN,Others,09/01/2012,1
Allscripts,Inpatient,FL,Others,01/01/2013,3
eClinicalWorks LLC,Ambulatory,IN,Cardiovascular Disease (Cardiology),12/01/2011,3
GE Healthcare,Ambulatory,FL,Others,05/01/2012,6
Others,Ambulatory,MD,Family Practice,02/01/2012,5
NextGen,Ambulatory,IN,Others,12/01/2012,9
NextGen,Ambulatory,IN,Others,12/01/2011,12
eClinicalWorks LLC,Ambulatory,HI,Family Practice,12/01/2012,2
"Greenway Medical Technologies, Inc.",Ambulatory,IL,General Surgery,12/01/2012,2
"Greenway Medical Technologies, Inc.",Ambulatory,IL,General Surgery,12/01/2011,1
Others,Ambulatory,NV,Cardiovascular Disease (Cardiology),12/01/2012,18
Others,Ambulatory,NV,Cardiovascular Disease (Cardiology),12/01/2011,1
Epic,Ambulatory,PA,General Surgery,12/01/2012,2
Epic,Ambulatory,PA,General Surgery,12/01/2011,1
Cerner,Ambulatory,WI,Family Practice,01/01/2013,93
eClinicalWorks LLC,Ambulatory,OR,Internal Medicine,12/01/2011,4
eClinicalWorks LLC,Ambulatory,OR,Internal Medicine,12/01/2012,3
NextGen,Ambulatory,CA,Internal Medicine,08/01/2012,12
GE Healthcare,Ambulatory,KS,Others,12/01/2012,3
Allscripts,Ambulatory,NY,Others,09/01/2012,33
NextGen,Inpatient,KY,Internal Medicine,01/01/2013,5
Others,Ambulatory,OH,Internal Medicine,10/01/2012,30
Others,Ambulatory,OH,Internal Medicine,10/01/2011,18
eClinicalWorks LLC,Ambulatory,IN,Others,05/01/2012,2
Cerner,Inpatient,ME,N/A,02/01/2012,4
GE Healthcare,Ambulatory,NY,Cardiovascular Disease (Cardiology),06/01/2012,10
Allscripts,Ambulatory,OR,Podiatry,01/01/2013,2
Allscripts,Ambulatory,OR,Podiatry,01/01/2012,2
Epic,Ambulatory,PA,Others,02/01/2012,40
Practice Fusion,Ambulatory,TN,Family Practice,12/01/2011,3
Allscripts,Ambulatory,OH,General Surgery,08/01/2012,1
Practice Fusion,Ambulatory,WA,Family Practice,12/01/2011,2
Practice Fusion,Ambulatory,WA,Family Practice,12/01/2012,2
GE Healthcare,Ambulatory,ND,Family Practice,01/01/2013,23
Practice Fusion,Ambulatory,FL,General Surgery,02/01/2012,3
Others,Ambulatory,CO,Podiatry,12/01/2011,1
Others,Ambulatory,KS,Optometry,11/01/2011,18
Others,Ambulatory,KS,Optometry,11/01/2012,30
Others,,AZ,Others,09/01/2012,1
eClinicalWorks LLC,Ambulatory,PA,Cardiovascular Disease (Cardiology),02/01/2012,3
Others,Ambulatory,CT,Podiatry,06/01/2012,1
McKesson,Ambulatory,AZ,Others,02/01/2012,8
Epic,Ambulatory,MN,Family Practice,02/01/2012,73
eClinicalWorks LLC,Ambulatory,NV,Gastroenterology,12/01/2011,4
Others,Ambulatory,FL,Cardiovascular Disease (Cardiology),12/01/2012,70
Epic,Ambulatory,MN,Family Practice,12/01/2011,76
Epic,Ambulatory,MN,Family Practice,12/01/2012,48
"Greenway Medical Technologies, Inc.",Ambulatory,FL,General Surgery,10/01/2012,3
eClinicalWorks LLC,Ambulatory,AL,Gastroenterology,11/01/2011,1
eClinicalWorks LLC,Ambulatory,HI,Family Practice,11/01/2012,1
GE Healthcare,Ambulatory,GA,General Surgery,11/01/2011,1
Others,Ambulatory,OH,Obstetrics/Gynecology,06/01/2012,1
Allscripts,Ambulatory,GA,General Surgery,12/01/2012,5
eClinicalWorks LLC,Ambulatory,MT,Gastroenterology,11/01/2012,1
GE Healthcare,Ambulatory,IL,Internal Medicine,02/01/2012,2
Cerner,Ambulatory,CA,Orthopedic Surgery,01/01/2012,2
Cerner,Ambulatory,CA,Orthopedic Surgery,01/01/2013,2
Cerner,Ambulatory,DE,Family Practice,11/01/2012,3
Cerner,Ambulatory,DE,Family Practice,11/01/2011,14
Allscripts,Ambulatory,UT,Podiatry,12/01/2012,1
eClinicalWorks LLC,Ambulatory,ID,Orthopedic Surgery,10/01/2012,1
Others,Ambulatory,TX,Internal Medicine,01/01/2012,27
Others,Ambulatory,TX,Internal Medicine,01/01/2013,113
NextGen,Ambulatory,UT,Others,11/01/2012,13
